[2023-10-02 10:16:39,044] INFO [Controller id=0 epoch=16] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-10-02 10:16:39,087] INFO [Controller id=0 epoch=16] Sending LeaderAndIsr request to broker 0 with 56 become-leader and 0 become-follower partitions (state.change.logger)
[2023-10-02 10:16:39,090] INFO [Controller id=0 epoch=16] Sending UpdateMetadata request to brokers HashSet(0) for 56 partitions (state.change.logger)
[2023-10-02 10:16:39,247] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2023-10-02 10:16:39,278] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 16 as part of the become-leader transition for 56 partitions (state.change.logger)
[2023-10-02 10:16:39,291] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,301] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,308] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,313] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,319] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,324] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,329] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,334] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,339] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,344] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,348] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
